Day_of_the_year,Latitude,Longitude,Month,Year,Max_Temperature,Avg_Temperature,Min_Temperature,GDD,Peak_Bloom_Day,Days to go for Peak Bloom
7,35.012,135.6761,1,2031,48,43.8,39,11.8,0,0
9,35.012,135.6761,1,2031,55,51.3,46,19.3,0,0
10,35.012,135.6761,1,2031,55,48.6,41,16.6,0,0
12,35.012,135.6761,1,2031,50,46.8,41,14.8,0,0
13,35.012,135.6761,1,2031,54,48.8,43,16.8,0,0
14,35.012,135.6761,1,2031,50,44.6,34,12.6,0,0
15,35.012,135.6761,1,2031,50,45,41,13,0,0
16,35.012,135.6761,1,2031,50,43.6,36,11.6,0,0
17,35.012,135.6761,1,2031,50,45.3,39,13.3,0,0
18,35.012,135.6761,1,2031,54,48.6,45,16.6,0,0
19,35.012,135.6761,1,2031,52,45,34,13,0,0
20,35.012,135.6761,1,2031,54,48.8,39,16.8,0,0
21,35.012,135.6761,1,2031,50,45.2,41,13.2,0,0
22,35.012,135.6761,1,2031,52,45.5,34,13.5,0,0
23,35.012,135.6761,1,2031,54,48.8,45,16.8,0,0
24,35.012,135.6761,1,2031,57,52.6,46,20.6,0,0
25,35.012,135.6761,1,2031,52,46.6,43,14.6,0,0
26,35.012,135.6761,1,2031,55,49.3,43,17.3,0,0
27,35.012,135.6761,1,2031,50,47,45,15,0,0
28,35.012,135.6761,1,2031,63,56.6,50,24.6,0,0
29,35.012,135.6761,1,2031,57,53.1,48,21.1,0,0
30,35.012,135.6761,1,2031,55,47.3,39,15.3,0,0
31,35.012,135.6761,1,2031,48,43.8,41,11.8,0,0
32,35.012,135.6761,2,2031,50,44.4,37,12.4,0,0
33,35.012,135.6761,2,2031,54,46.4,37,14.4,0,0
34,35.012,135.6761,2,2031,55,48.2,36,16.2,0,0
35,35.012,135.6761,2,2031,52,44.8,34,12.8,0,0
36,35.012,135.6761,2,2031,52,43.9,34,11.9,0,0
37,35.012,135.6761,2,2031,41,37.9,34,5.9,0,0
38,35.012,135.6761,2,2031,45,37.5,28,5.5,0,0
39,35.012,135.6761,2,2031,50,43.9,34,11.9,0,0
40,35.012,135.6761,2,2031,43,38.9,34,6.9,0,0
41,35.012,135.6761,2,2031,48,41.4,30,9.4,0,0
42,35.012,135.6761,2,2031,54,45.3,30,13.3,0,0
43,35.012,135.6761,2,2031,59,49.5,37,17.5,0,0
44,35.012,135.6761,2,2031,64,58,52,26,0,0
45,35.012,135.6761,2,2031,57,52.9,46,20.9,0,0
46,35.012,135.6761,2,2031,55,49.7,43,17.7,0,0
47,35.012,135.6761,2,2031,61,54.8,50,22.8,0,0
48,35.012,135.6761,2,2031,50,46.8,43,14.8,0,0
49,35.012,135.6761,2,2031,46,41.9,36,9.9,0,0
50,35.012,135.6761,2,2031,50,46.1,39,14.1,0,0
51,35.012,135.6761,2,2031,55,48.6,37,16.6,0,0
52,35.012,135.6761,2,2031,59,49.8,37,17.8,0,0
53,35.012,135.6761,2,2031,55,49.4,43,17.4,0,0
54,35.012,135.6761,2,2031,54,47.7,41,15.7,0,0
55,35.012,135.6761,2,2031,55,47.3,34,15.3,0,0
56,35.012,135.6761,2,2031,55,49.8,41,17.8,0,0
57,35.012,135.6761,2,2031,54,52.3,48,20.3,0,0
58,35.012,135.6761,2,2031,48,43.6,41,11.6,0,0
59,35.012,135.6761,2,2031,50,44.9,36,12.9,0,0
60,35.012,135.6761,2,2031,48,46.1,45,14.1,0,0
1,38.8853,-77.0386,1,2000,55,41.7,34,9.7,96,92
2,38.8853,-77.0386,1,2000,67,53.8,0,21.8,96,91
3,38.8853,-77.0386,1,2000,67,57.9,53,25.9,96,90
4,38.8853,-77.0386,1,2000,70,59.5,48,27.5,96,89
5,38.8853,-77.0386,1,2000,46,40.2,35,8.2,96,88
6,38.8853,-77.0386,1,2000,47,38.6,31,6.6,96,87
7,38.8853,-77.0386,1,2000,54,42.3,33,10.3,96,86
8,38.8853,-77.0386,1,2000,45,39.2,31,7.2,96,85
9,38.8853,-77.0386,1,2000,46,43,40,11,96,84
10,38.8853,-77.0386,1,2000,52,47,44,15,96,83
11,38.8853,-77.0386,1,2000,56,47,41,15,96,82
12,38.8853,-77.0386,1,2000,52,43.9,36,11.9,96,81
13,38.8853,-77.0386,1,2000,63,44.5,30,12.5,96,80
14,38.8853,-77.0386,1,2000,32,27.3,23,0,96,79
15,38.8853,-77.0386,1,2000,36,29.8,23,0,96,78
16,38.8853,-77.0386,1,2000,62,43.6,31,11.6,96,77
17,38.8853,-77.0386,1,2000,29,23.4,20,0,96,76
18,38.8853,-77.0386,1,2000,22,19.5,18,0,96,75
19,38.8853,-77.0386,1,2000,39,30,19,0,96,74
20,38.8853,-77.0386,1,2000,36,32.4,25,0.4,96,73
21,38.8853,-77.0386,1,2000,24,20.1,17,0,96,72
22,38.8853,-77.0386,1,2000,25,20.6,15,0,96,71
23,38.8853,-77.0386,1,2000,30,27.9,25,0,96,70
24,38.8853,-77.0386,1,2000,40,33.1,28,1.1,96,69
25,38.8853,-77.0386,1,2000,34,27.6,25,0,96,68
26,38.8853,-77.0386,1,2000,33,28.2,22,0,96,67
27,38.8853,-77.0386,1,2000,25,21.3,19,0,96,66
28,38.8853,-77.0386,1,2000,33,24.6,18,0,96,65
29,38.8853,-77.0386,1,2000,37,27.7,20,0,96,64
30,38.8853,-77.0386,1,2000,30,28.3,25,0,96,63
31,38.8853,-77.0386,1,2000,39,32.6,26,0.6,96,62
32,38.8853,-77.0386,2,2000,38,31.9,22,0,96,61
33,38.8853,-77.0386,2,2000,35,30.7,26,0,96,60
34,38.8853,-77.0386,2,2000,38,31.6,25,0,96,59
35,38.8853,-77.0386,2,2000,39,33.9,30,1.9,96,58
36,38.8853,-77.0386,2,2000,42,35.8,32,3.8,96,57
37,38.8853,-77.0386,2,2000,39,34.8,32,2.8,96,56
38,38.8853,-77.0386,2,2000,49,40.6,31,8.6,96,55
39,38.8853,-77.0386,2,2000,38,32.3,27,0.3,96,54
40,38.8853,-77.0386,2,2000,50,36.9,24,4.9,96,53
41,38.8853,-77.0386,2,2000,58,43.6,31,11.6,96,52
42,38.8853,-77.0386,2,2000,61,46,39,14,96,51
43,38.8853,-77.0386,2,2000,37,31.2,28,0,96,50
44,38.8853,-77.0386,2,2000,37,32.2,26,0.2,92,92
45,38.8853,-77.0386,2,2000,63,47,37,15,92,91
46,38.8853,-77.0386,2,2000,45,39.2,34,7.2,92,90
47,38.8853,-77.0386,2,2000,66,48.1,35,16.1,92,89
48,38.8853,-77.0386,2,2000,41,36.8,32,4.8,92,88
49,38.8853,-77.0386,2,2000,42,34.1,30,2.1,92,87
50,38.8853,-77.0386,2,2000,56,45.7,38,13.7,92,86
51,38.8853,-77.0386,2,2000,48,41.2,35,9.2,92,85
52,38.8853,-77.0386,2,2000,49,41.2,36,9.2,92,84
53,38.8853,-77.0386,2,2000,44,36.7,34,4.7,92,83
54,38.8853,-77.0386,2,2000,52,48.3,45,16.3,92,82
1,38.8853,-77.0386,1,2001,35,26.4,20,0,92,81
2,38.8853,-77.0386,1,2001,29,29,29,0,92,80
3,38.8853,-77.0386,1,2001,34,28.6,23,0,92,79
4,38.8853,-77.0386,1,2001,41,35.2,28,3.2,92,78
5,38.8853,-77.0386,1,2001,41,33.4,26,1.4,92,77
6,38.8853,-77.0386,1,2001,37,35.4,34,3.4,92,76
7,38.8853,-77.0386,1,2001,34,30.5,28,0,92,75
8,38.8853,-77.0386,1,2001,49,36.8,30,4.8,92,74
9,38.8853,-77.0386,1,2001,59,41.1,26,9.1,92,73
10,38.8853,-77.0386,1,2001,44,38.6,33,6.6,92,72
11,38.8853,-77.0386,1,2001,40,39.5,39,7.5,92,71
12,38.8853,-77.0386,1,2001,48,41.4,34,9.4,92,70
13,38.8853,-77.0386,1,2001,37,37,37,5,92,69
14,38.8853,-77.0386,1,2001,41,38.2,36,6.2,92,68
15,38.8853,-77.0386,1,2001,39,35.9,33,3.9,92,67
16,38.8853,-77.0386,1,2001,34,30,25,0,92,66
17,38.8853,-77.0386,1,2001,36,28.9,22,0,92,65
18,38.8853,-77.0386,1,2001,42,31.2,21,0,92,64
19,38.8853,-77.0386,1,2001,47,36.6,28,4.6,92,63
20,38.8853,-77.0386,1,2001,28,28,28,0,92,62
21,38.8853,-77.0386,1,2001,39,32.2,23,0.2,92,61
22,38.8853,-77.0386,1,2001,34,34,34,2,92,60
23,38.8853,-77.0386,1,2001,45,37.5,32,5.5,92,59
24,38.8853,-77.0386,1,2001,53,42.4,36,10.4,92,58
25,38.8853,-77.0386,1,2001,55,49.1,42,17.1,92,57
26,38.8853,-77.0386,2,2001,51,42.9,35,10.9,92,56
27,38.8853,-77.0386,2,2001,51,40.9,30,8.9,92,55
28,38.8853,-77.0386,2,2001,29,29,29,0,92,54
29,38.8853,-77.0386,2,2001,45,36,27,4,92,53
30,38.8853,-77.0386,2,2001,41,41,41,9,92,52
31,38.8853,-77.0386,2,2001,69,54.8,37,22.8,92,51
32,38.8853,-77.0386,2,2001,64,50.4,34,18.4,92,50
33,38.8853,-77.0386,2,2001,38,32.3,27,0.3,92,49
34,38.8853,-77.0386,2,2001,50,50,50,18,92,48
35,38.8853,-77.0386,2,2001,54,49.2,43,17.2,92,47
36,38.8853,-77.0386,2,2001,44,44,44,12,92,46
37,38.8853,-77.0386,2,2001,45,37.2,26,5.2,92,45
38,38.8853,-77.0386,2,2001,37,29.5,21,0,92,44
39,38.8853,-77.0386,2,2001,50,37.6,24,5.6,92,43
40,38.8853,-77.0386,2,2001,65,50.1,37,18.1,92,42
41,38.8853,-77.0386,2,2001,29,29,29,0,92,41
42,38.8853,-77.0386,2,2001,28,24.3,23,0,92,40
43,38.8853,-77.0386,2,2001,37,37,37,5,92,92
44,38.8853,-77.0386,2,2001,43,36.5,31,4.5,92,91
45,38.8853,-77.0386,2,2001,54,42.8,36,10.8,92,90
46,38.8853,-77.0386,2,2001,55,49.2,40,17.2,92,89
47,38.8853,-77.0386,2,2001,56,46.3,36,14.3,92,88
1,38.8853,-77.0386,1,2002,33,27,20,0,92,87
2,38.8853,-77.0386,1,2002,37,29.3,22,0,92,86
3,38.8853,-77.0386,1,2002,36,32.3,30,0.3,92,85
4,38.8853,-77.0386,1,2002,41,33.2,28,1.2,92,84
5,38.8853,-77.0386,1,2002,50,37.7,26,5.7,92,83
6,38.8853,-77.0386,1,2002,38,34.7,30,2.7,92,82
7,38.8853,-77.0386,1,2002,39,36.3,30,4.3,92,81
8,38.8853,-77.0386,1,2002,40,33.1,29,1.1,92,80
9,38.8853,-77.0386,1,2002,49,39.4,30,7.4,92,79
10,38.8853,-77.0386,1,2002,53,43.7,34,11.7,92,78
11,38.8853,-77.0386,1,2002,49,45.9,41,13.9,92,77
12,38.8853,-77.0386,1,2002,50,40.5,31,8.5,92,76
13,38.8853,-77.0386,1,2002,49,43.2,36,11.2,92,75
14,38.8853,-77.0386,1,2002,51,43.1,34,11.1,92,74
15,38.8853,-77.0386,1,2002,53,45.1,39,13.1,92,73
16,38.8853,-77.0386,1,2002,43,38.5,35,6.5,92,72
17,38.8853,-77.0386,1,2002,50,44.1,39,12.1,92,71
18,38.8853,-77.0386,1,2002,46,40.6,34,8.6,92,70
19,38.8853,-77.0386,1,2002,36,33.3,32,1.3,92,69
20,38.8853,-77.0386,1,2002,39,34.6,31,2.6,92,68
21,38.8853,-77.0386,1,2002,46,39,32,7,92,67
22,38.8853,-77.0386,1,2002,54,43.1,34,11.1,92,66
23,38.8853,-77.0386,1,2002,49,45.9,43,13.9,92,65
24,38.8853,-77.0386,1,2002,61,52.1,44,20.1,92,64
25,38.8853,-77.0386,1,2002,51,44.5,35,12.5,92,63
26,38.8853,-77.0386,1,2002,56,42.4,32,10.4,92,62
27,38.8853,-77.0386,1,2002,65,46.3,33,14.3,92,61
28,38.8853,-77.0386,1,2002,67,52,39,20,92,60
29,38.8853,-77.0386,1,2002,69,57.3,45,25.3,92,59
30,38.8853,-77.0386,1,2002,77,61,53,29,92,58
31,38.8853,-77.0386,1,2002,54,48.5,46,16.5,92,57
32,38.8853,-77.0386,2,2002,43,43,43,11,92,56
33,38.8853,-77.0386,2,2002,43,38.9,34,6.9,92,55
34,38.8853,-77.0386,2,2002,44,38.5,30,6.5,92,54
35,38.8853,-77.0386,2,2002,24,24,24,0,92,53
36,38.8853,-77.0386,2,2002,40,30.1,21,0,92,52
37,38.8853,-77.0386,2,2002,45,38.7,28,6.7,92,51
38,38.8853,-77.0386,2,2002,43,37.8,33,5.8,92,50
39,38.8853,-77.0386,2,2002,61,45.5,33,13.5,92,49
40,38.8853,-77.0386,2,2002,31,31,31,0,92,48
41,38.8853,-77.0386,2,2002,56,42.2,28,10.2,92,47
42,38.8853,-77.0386,2,2002,45,41.1,32,9.1,92,46
43,38.8853,-77.0386,2,2002,35,35,35,3,92,45
44,38.8853,-77.0386,2,2002,52,42.7,32,10.7,92,44
45,38.8853,-77.0386,2,2002,59,51.3,44,19.3,92,43
46,38.8853,-77.0386,2,2002,47,41.6,32,9.6,92,42
47,38.8853,-77.0386,2,2002,47,36.8,28,4.8,91,91
48,38.8853,-77.0386,2,2002,56,43.2,29,11.2,91,90
49,38.8853,-77.0386,2,2002,65,55.8,49,23.8,91,89
50,38.8853,-77.0386,2,2002,65,56.3,48,24.3,91,88
51,38.8853,-77.0386,2,2002,52,48.1,39,16.1,91,87
52,38.8853,-77.0386,2,2002,39,39,39,7,91,86
53,38.8853,-77.0386,2,2002,58,46.9,33,14.9,91,85
1,38.8853,-77.0386,1,2003,51,47.3,42,15.3,91,84
2,38.8853,-77.0386,1,2003,43,40.8,39,8.8,91,83
3,38.8853,-77.0386,1,2003,40,38,35,6,91,82
4,38.8853,-77.0386,1,2003,40,35.5,31,3.5,91,81
5,38.8853,-77.0386,1,2003,34,31,29,0,91,80
6,38.8853,-77.0386,1,2003,37,34.3,32,2.3,91,79
7,38.8853,-77.0386,1,2003,37,30.7,25,0,91,78
8,38.8853,-77.0386,1,2003,43,43,43,11,91,77
9,38.8853,-77.0386,1,2003,62,49.5,39,17.5,91,76
10,38.8853,-77.0386,1,2003,49,42.5,34,10.5,91,75
11,38.8853,-77.0386,1,2003,27,27,27,0,91,74
12,38.8853,-77.0386,1,2003,46,33.6,24,1.6,91,73
13,38.8853,-77.0386,1,2003,27,27,27,0,91,72
14,38.8853,-77.0386,1,2003,33,27.2,20,0,91,71
15,38.8853,-77.0386,1,2003,30,25.1,20,0,91,70
16,38.8853,-77.0386,1,2003,19,19,19,0,91,69
17,38.8853,-77.0386,1,2003,24,18.7,12,0,91,68
18,38.8853,-77.0386,1,2003,32,26.6,19,0,91,67
19,38.8853,-77.0386,1,2003,26,26,26,0,91,66
20,38.8853,-77.0386,1,2003,31,25,20,0,91,65
21,38.8853,-77.0386,1,2003,19,19,19,0,91,64
22,38.8853,-77.0386,1,2003,21,17,14,0,91,63
23,38.8853,-77.0386,1,2003,34,23.8,15,0,91,62
24,38.8853,-77.0386,1,2003,35,25.9,17,0,91,61
25,38.8853,-77.0386,1,2003,40,31.7,23,0,91,60
26,38.8853,-77.0386,1,2003,23,18.9,15,0,91,59
27,38.8853,-77.0386,1,2003,35,26.5,15,0,91,58
28,38.8853,-77.0386,1,2003,36,33.4,32,1.4,91,57
29,38.8853,-77.0386,1,2003,34,32,30,0,91,56
30,38.8853,-77.0386,1,2003,36,34.7,33,2.7,91,55
31,38.8853,-77.0386,2,2003,41,37.4,35,5.4,91,54
32,38.8853,-77.0386,2,2003,50,42.6,38,10.6,91,53
33,38.8853,-77.0386,2,2003,38,38,38,6,91,52
34,38.8853,-77.0386,2,2003,53,43.5,38,11.5,91,51
35,38.8853,-77.0386,2,2003,38,33.4,28,1.4,91,50
36,38.8853,-77.0386,2,2003,30,30,30,0,91,49
37,38.8853,-77.0386,2,2003,38,32.3,29,0.3,91,48
38,38.8853,-77.0386,2,2003,33,28.5,22,0,91,47
39,38.8853,-77.0386,2,2003,42,32.4,21,0.4,91,46
40,38.8853,-77.0386,2,2003,30,30,30,0,91,45
41,38.8853,-77.0386,2,2003,38,31.8,25,0,91,44
42,38.8853,-77.0386,2,2003,40,33.8,24,1.8,91,43
43,38.8853,-77.0386,2,2003,25,25,25,0,91,42
44,38.8853,-77.0386,2,2003,24,17.6,15,0,91,41
45,38.8853,-77.0386,2,2003,27,22.6,18,0,91,40
46,38.8853,-77.0386,2,2003,40,29,25,0,91,39
47,38.8853,-77.0386,2,2003,35,35,35,3,91,38
48,38.8853,-77.0386,2,2003,45,39.3,34,7.3,91,37
49,38.8853,-77.0386,2,2003,41,37,32,5,91,36
50,38.8853,-77.0386,2,2003,30,30,30,0,91,35
51,38.8853,-77.0386,2,2003,37,32.2,30,0.2,99,99
1,38.8853,-77.0386,1,2004,54,47,38,15,99,98
2,38.8853,-77.0386,1,2004,46,46,46,14,99,97
3,38.8853,-77.0386,1,2004,65,52.8,43,20.8,99,96
4,38.8853,-77.0386,1,2004,69,54.9,47,22.9,99,95
5,38.8853,-77.0386,1,2004,49,45.7,43,13.7,99,94
6,38.8853,-77.0386,1,2004,24,24,24,0,99,93
7,38.8853,-77.0386,1,2004,31,25,20,0,99,92
8,38.8853,-77.0386,1,2004,32,32,32,0,99,91
9,38.8853,-77.0386,1,2004,33,28.4,18,0,99,90
10,38.8853,-77.0386,1,2004,20,15,8,0,99,89
11,38.8853,-77.0386,1,2004,32,23.3,14,0,99,88
12,38.8853,-77.0386,1,2004,33,33,33,1,99,87
13,38.8853,-77.0386,1,2004,33,29.9,26,0,99,86
14,38.8853,-77.0386,1,2004,20,20,20,0,99,85
15,38.8853,-77.0386,1,2004,29,21.8,15,0,99,84
16,38.8853,-77.0386,1,2004,36,28.9,21,0,99,83
17,38.8853,-77.0386,1,2004,39,35.5,30,3.5,99,82
18,38.8853,-77.0386,1,2004,23,23,23,0,99,81
19,38.8853,-77.0386,1,2004,30,25.5,22,0,99,80
20,38.8853,-77.0386,1,2004,23,23,23,0,99,79
21,38.8853,-77.0386,1,2004,47,34.9,24,2.9,99,78
22,38.8853,-77.0386,1,2004,23,23,23,0,99,77
23,38.8853,-77.0386,1,2004,28,23.1,20,0,99,76
24,38.8853,-77.0386,1,2004,22,18,14,0,99,75
25,38.8853,-77.0386,1,2004,22,18.8,16,0,99,74
26,38.8853,-77.0386,1,2004,30,26.7,21,0,99,73
27,38.8853,-77.0386,1,2004,30,26.9,23,0,99,72
28,38.8853,-77.0386,1,2004,39,27.9,16,0,99,71
29,38.8853,-77.0386,2,2004,34,24.9,16,0,99,70
30,38.8853,-77.0386,2,2004,38,29.1,19,0,99,69
31,38.8853,-77.0386,2,2004,42,30.5,0,0,99,68
32,38.8853,-77.0386,2,2004,42,37.8,32,5.8,99,67
33,38.8853,-77.0386,2,2004,36,32,27,0,99,66
34,38.8853,-77.0386,2,2004,37,34.4,30,2.4,99,65
35,38.8853,-77.0386,2,2004,45,38.5,32,6.5,99,64
36,38.8853,-77.0386,2,2004,37,31,27,0,99,63
37,38.8853,-77.0386,2,2004,49,38.6,26,6.6,99,62
38,38.8853,-77.0386,2,2004,52,43.1,36,11.1,99,61
39,38.8853,-77.0386,2,2004,44,39.5,35,7.5,99,60
40,38.8853,-77.0386,2,2004,43,37.3,33,5.3,99,59
41,38.8853,-77.0386,2,2004,50,40.1,32,8.1,99,58
42,38.8853,-77.0386,2,2004,51,40.3,32,8.3,99,57
43,38.8853,-77.0386,2,2004,41,34.4,27,2.4,99,56
44,38.8853,-77.0386,2,2004,35,27,19,0,99,55
45,38.8853,-77.0386,2,2004,38,32,25,0,99,54
46,38.8853,-77.0386,2,2004,45,37,29,5,99,53
47,38.8853,-77.0386,2,2004,60,46.1,33,14.1,99,52
48,38.8853,-77.0386,2,2004,58,48,37,16,99,51
49,38.8853,-77.0386,2,2004,56,50.6,42,18.6,99,50
50,38.8853,-77.0386,2,2004,46,41.3,37,9.3,99,49
51,38.8853,-77.0386,2,2004,47,40,31,8,99,48
52,38.8853,-77.0386,2,2004,43,39.2,33,7.2,99,47
53,38.8853,-77.0386,2,2004,45,36.6,29,4.6,99,46
54,38.8853,-77.0386,2,2004,42,36.6,30,4.6,99,45
55,38.8853,-77.0386,2,2004,50,41.8,36,9.8,99,44
56,38.8853,-77.0386,2,2004,58,44.3,32,12.3,89,89
57,38.8853,-77.0386,2,2004,66,48.1,33,16.1,89,88
1,38.8853,-77.0386,1,2005,47,47,47,15,89,87
2,38.8853,-77.0386,1,2005,46,42.9,39,10.9,89,86
3,38.8853,-77.0386,1,2005,63,52,42,20,89,85
4,38.8853,-77.0386,1,2005,66,56.2,48,24.2,89,84
5,38.8853,-77.0386,1,2005,41,41,41,9,89,83
6,38.8853,-77.0386,1,2005,45,41.1,39,9.1,89,82
7,38.8853,-77.0386,1,2005,43,43,43,11,89,81
8,38.8853,-77.0386,1,2005,54,44.6,41,12.6,89,80
9,38.8853,-77.0386,1,2005,36,36,36,4,89,79
10,38.8853,-77.0386,1,2005,55,43.5,35,11.5,89,78
11,38.8853,-77.0386,1,2005,44,44,44,12,89,77
12,38.8853,-77.0386,1,2005,52,45.6,42,13.6,89,76
13,38.8853,-77.0386,1,2005,58,58,58,26,89,75
14,38.8853,-77.0386,1,2005,64,50.8,36,18.8,89,74
15,38.8853,-77.0386,1,2005,37,33,30,1,89,73
16,38.8853,-77.0386,1,2005,38,33.1,30,1.1,89,72
17,38.8853,-77.0386,1,2005,26,26,26,0,89,71
18,38.8853,-77.0386,1,2005,36,31.9,27,0,89,70
19,38.8853,-77.0386,1,2005,18,18,18,0,89,69
20,38.8853,-77.0386,1,2005,23,20.8,17,0,89,68
21,38.8853,-77.0386,1,2005,26,26,26,0,89,67
22,38.8853,-77.0386,1,2005,37,31.6,26,0,89,66
23,38.8853,-77.0386,1,2005,48,37.4,32,5.4,89,65
24,38.8853,-77.0386,1,2005,18,18,18,0,89,64
25,38.8853,-77.0386,1,2005,27,20.3,13,0,89,63
26,38.8853,-77.0386,1,2005,29,28.3,28,0,89,62
27,38.8853,-77.0386,1,2005,35,30.9,28,0,89,61
28,38.8853,-77.0386,1,2005,38,31.2,25,0,89,60
29,38.8853,-77.0386,2,2005,40,31,24,0,89,59
30,38.8853,-77.0386,2,2005,45,33.4,21,1.4,89,58
31,38.8853,-77.0386,2,2005,37,33.9,32,1.9,89,57
32,38.8853,-77.0386,2,2005,47,39,33,7,89,56
33,38.8853,-77.0386,2,2005,57,43.6,33,11.6,89,55
34,38.8853,-77.0386,2,2005,56,42,30,10,89,54
35,38.8853,-77.0386,2,2005,56,44.6,34,12.6,89,53
36,38.8853,-77.0386,2,2005,62,48.2,39,16.2,89,52
37,38.8853,-77.0386,2,2005,60,50.1,42,18.1,89,51
38,38.8853,-77.0386,2,2005,50,40.4,31,8.4,89,50
39,38.8853,-77.0386,2,2005,41,33.3,28,1.3,89,49
40,38.8853,-77.0386,2,2005,54,41.4,30,9.4,89,48
41,38.8853,-77.0386,2,2005,50,41.9,32,9.9,91,91
42,38.8853,-77.0386,2,2005,50,43.1,35,11.1,91,90
43,38.8853,-77.0386,2,2005,60,44.8,39,12.8,91,89
44,38.8853,-77.0386,2,2005,63,49.6,40,17.6,91,88
45,38.8853,-77.0386,2,2005,46,39.2,33,7.2,91,87
46,38.8853,-77.0386,2,2005,33,28.9,24,0,91,86
47,38.8853,-77.0386,2,2005,38,29.4,21,0,91,85
48,38.8853,-77.0386,2,2005,43,36,28,4,91,84
49,38.8853,-77.0386,2,2005,57,43.2,36,11.2,91,83
50,38.8853,-77.0386,2,2005,48,43.1,39,11.1,91,82
51,38.8853,-77.0386,2,2005,47,41.8,37,9.8,91,81
52,38.8853,-77.0386,2,2005,37,30.3,27,0,91,80
53,38.8853,-77.0386,2,2005,37,30.7,26,0,91,79
54,38.8853,-77.0386,2,2005,45,36.8,27,4.8,91,78
55,38.8853,-77.0386,2,2005,39,33.2,28,1.2,91,77
56,38.8853,-77.0386,2,2005,34,32.8,30,0.8,91,76
1,38.8853,-77.0386,1,2006,48,44.3,40,12.3,91,75
2,38.8853,-77.0386,1,2006,41,41,41,9,91,74
3,38.8853,-77.0386,1,2006,54,44.6,39,12.6,91,73
4,38.8853,-77.0386,1,2006,42,38,30,6,91,72
5,38.8853,-77.0386,1,2006,38,32.8,26,0.8,91,71
6,38.8853,-77.0386,1,2006,47,47,47,15,91,70
7,38.8853,-77.0386,1,2006,50,44.7,40,12.7,91,69
8,38.8853,-77.0386,1,2006,52,45.1,41,13.1,91,68
9,38.8853,-77.0386,1,2006,44,44,44,12,91,67
10,38.8853,-77.0386,1,2006,60,46.6,36,14.6,91,66
11,38.8853,-77.0386,1,2006,61,48.8,33,16.8,91,65
12,38.8853,-77.0386,1,2006,40,33.4,27,1.4,91,64
13,38.8853,-77.0386,1,2006,37,37,37,5,91,63
14,38.8853,-77.0386,1,2006,43,38.1,36,6.1,91,62
15,38.8853,-77.0386,1,2006,34,34,34,2,91,61
16,38.8853,-77.0386,1,2006,57,43.6,33,11.6,91,60
17,38.8853,-77.0386,2,2006,46,41.6,39,9.6,91,59
18,38.8853,-77.0386,2,2006,55,45.1,37,13.1,91,58
19,38.8853,-77.0386,2,2006,49,49,49,17,91,57
20,38.8853,-77.0386,2,2006,59,50.6,46,18.6,91,56
21,38.8853,-77.0386,2,2006,46,40.8,35,8.8,91,55
22,38.8853,-77.0386,2,2006,46,38,30,6,91,54
23,38.8853,-77.0386,2,2006,43,36.3,31,4.3,91,53
24,38.8853,-77.0386,2,2006,39,32.8,28,0.8,91,52
25,38.8853,-77.0386,2,2006,38,33,29,1,91,51
26,38.8853,-77.0386,2,2006,42,35.2,27,3.2,91,50
27,38.8853,-77.0386,2,2006,32,32,32,0,91,49
28,38.8853,-77.0386,2,2006,36,31.6,28,0,91,48
29,38.8853,-77.0386,2,2006,37,31.1,24,0,91,47
30,38.8853,-77.0386,2,2006,45,37,28,5,91,46
31,38.8853,-77.0386,2,2006,54,54,54,22,91,45
32,38.8853,-77.0386,2,2006,63,51.9,38,19.9,91,44
33,38.8853,-77.0386,2,2006,37,32.6,18,0.6,91,43
34,38.8853,-77.0386,2,2006,29,21.9,14,0,91,42
35,38.8853,-77.0386,2,2006,40,33.1,28,1.1,91,41
36,38.8853,-77.0386,2,2006,38,38,38,6,91,40
37,38.8853,-77.0386,2,2006,53,43.1,37,11.1,91,39
38,38.8853,-77.0386,2,2006,46,39.2,32,7.2,91,38
39,38.8853,-77.0386,2,2006,59,40.7,29,8.7,91,37
40,38.8853,-77.0386,2,2006,35,30.9,26,0,86,86
41,38.8853,-77.0386,2,2006,39,32.1,22,0.1,86,85
42,38.8853,-77.0386,2,2006,45,38,33,6,86,84
1,38.8853,-77.0386,1,2007,52,49.1,45,17.1,86,83
2,38.8853,-77.0386,1,2007,50,44.7,35,12.7,86,82
3,38.8853,-77.0386,1,2007,56,43,33,11,86,81
4,38.8853,-77.0386,1,2007,61,50.9,42,18.9,86,80
5,38.8853,-77.0386,1,2007,61,56.9,52,24.9,86,79
6,38.8853,-77.0386,1,2007,70,61.5,57,29.5,86,78
7,38.8853,-77.0386,1,2007,56,49,46,17,86,77
8,38.8853,-77.0386,1,2007,54,47.4,36,15.4,86,76
9,38.8853,-77.0386,1,2007,46,39.1,33,7.1,86,75
10,38.8853,-77.0386,1,2007,37,34,31,2,86,74
11,38.8853,-77.0386,1,2007,42,34.9,27,2.9,86,73
12,38.8853,-77.0386,1,2007,49,45.5,39,13.5,86,72
13,38.8853,-77.0386,1,2007,58,54.1,49,22.1,86,71
14,38.8853,-77.0386,1,2007,63,57,52,25,86,70
15,38.8853,-77.0386,1,2007,67,60.9,54,28.9,86,69
16,38.8853,-77.0386,1,2007,64,46.3,31,14.3,86,68
